band,importance,region,year,sample_version
slope,2.3527160285258417,HIM,2010,4
red_min,2.266298375728352,HIM,2010,4
ndvi_median,1.9990187743644112,HIM,2010,4
gcvi_median,1.8940051192042748,HIM,2010,4
nir_min,1.8064427558520657,HIM,2010,4
swir2_median,1.5674732810161007,HIM,2010,4
blue_median_wet,1.5589354191779794,HIM,2010,4
green_min,1.535465859745492,HIM,2010,4
gcvi_median_dry,1.46051458961011,HIM,2010,4
blue_median,1.4577171045281154,HIM,2010,4
ndvi_median_dry,1.4291410906050583,HIM,2010,4
blue_min,1.3989781172086524,HIM,2010,4
cloud_min,1.3663674895282645,HIM,2010,4
gvs_max,1.3335853505924755,HIM,2010,4
gcvi_median_wet,1.3319709789331389,HIM,2010,4
swir1_median_wet,1.3201133747947469,HIM,2010,4
ndwi_median,1.3155962696395311,HIM,2010,4
cai_stdDev,1.3045428783424338,HIM,2010,4
blue_median_dry,1.2741010808594209,HIM,2010,4
gcvi_stdDev,1.220203456196878,HIM,2010,4
cloud_median,1.2186141676862021,HIM,2010,4
swir2_median_wet,1.2127005084592117,HIM,2010,4
red_stdDev,1.1647684919752255,HIM,2010,4
green_median_wet,1.1503341360611092,HIM,2010,4
red_median,1.1389995410608358,HIM,2010,4
green_median_texture,1.1307515487429634,HIM,2010,4
pri_median_dry,1.1090595728663504,HIM,2010,4
ndfi_amp,1.0956185459538925,HIM,2010,4
ndwi_median_wet,1.0223479226534302,HIM,2010,4
green_median,1.010062066935614,HIM,2010,4
cloud_median_dry,0.9844685981464417,HIM,2010,4
gvs_stdDev,0.9821520533110297,HIM,2010,4
npv_median_dry,0.967329538636655,HIM,2010,4
gv_median_wet,0.9594837706848045,HIM,2010,4
blue_stdDev,0.9536082109428656,HIM,2010,4
green_median_dry,0.951827621637817,HIM,2010,4
swir2_median_dry,0.949128525807872,HIM,2010,4
ndwi_stdDev,0.9281216493626697,HIM,2010,4
pri_median,0.9257498829262902,HIM,2010,4
sefi_stdDev,0.9244831279998929,HIM,2010,4
nir_median_dry,0.9234384502079859,HIM,2010,4
soil_median_wet,0.9054566203116147,HIM,2010,4
cloud_amp,0.9046723756615244,HIM,2010,4
nir_median,0.8971844276076464,HIM,2010,4
hallcover_stdDev,0.8910573764700636,HIM,2010,4
cloud_median_wet,0.8711581938294759,HIM,2010,4
ndwi_median_dry,0.8697215359639919,HIM,2010,4
green_stdDev,0.8681517378566052,HIM,2010,4
ndfi_median_wet,0.8610176445904015,HIM,2010,4
ndfi_max,0.8384762467772308,HIM,2010,4
soil_median,0.8381488285309777,HIM,2010,4
evi2_median,0.8211105038561681,HIM,2010,4
swir1_stdDev,0.8122131021935255,HIM,2010,4
savi_median_dry,0.8100694672246072,HIM,2010,4
sefi_median_dry,0.8072470972951088,HIM,2010,4
swir1_median,0.7959142602800423,HIM,2010,4
swir2_min,0.7830385295817404,HIM,2010,4
nir_median_wet,0.7820540025149347,HIM,2010,4
nir_stdDev,0.7802637054949334,HIM,2010,4
ndfi_stdDev,0.7720237224789707,HIM,2010,4
hallcover_median,0.7688247937792635,HIM,2010,4
ndvi_amp,0.7591606346626413,HIM,2010,4
swir2_stdDev,0.7506112215096957,HIM,2010,4
evi2_median_wet,0.747605614792628,HIM,2010,4
wefi_median_wet,0.7432907692811807,HIM,2010,4
savi_stdDev,0.7348287537789079,HIM,2010,4
red_median_dry,0.7338456156972365,HIM,2010,4
savi_median,0.709754066506794,HIM,2010,4
gv_max,0.7083292660050374,HIM,2010,4
ndvi_median_wet,0.7028130089634768,HIM,2010,4
ndwi_amp,0.6968720967026956,HIM,2010,4
gvs_amp,0.6885556784053691,HIM,2010,4
evi2_stdDev,0.6761729775441973,HIM,2010,4
cloud_max,0.6598773303781242,HIM,2010,4
savi_median_wet,0.6560570121274706,HIM,2010,4
red_median_wet,0.6530837368244322,HIM,2010,4
soil_max,0.6428395393737244,HIM,2010,4
soil_stdDev,0.637393760673369,HIM,2010,4
npv_median_wet,0.6364068669619232,HIM,2010,4
shade_median_dry,0.6339184982151941,HIM,2010,4
cai_median,0.6327034841587914,HIM,2010,4
shade_median,0.6162256384086793,HIM,2010,4
cai_median_dry,0.6149713599887536,HIM,2010,4
soil_amp,0.5953205960532917,HIM,2010,4
ndvi_stdDev,0.5952709880997107,HIM,2010,4
ndfi_median_dry,0.5926860228431169,HIM,2010,4
wefi_median,0.5697700619182269,HIM,2010,4
evi2_median_dry,0.5443603535387902,HIM,2010,4
gvs_median_wet,0.5283830150939623,HIM,2010,4
pri_median_wet,0.5275747651817853,HIM,2010,4
ndfi_median,0.5217945538162174,HIM,2010,4
swir1_median_dry,0.5213493261747096,HIM,2010,4
shade_amp,0.5183439456389893,HIM,2010,4
gvs_median_dry,0.49924218008661725,HIM,2010,4
wefi_stdDev,0.49688516156168594,HIM,2010,4
sefi_median,0.4951103310156701,HIM,2010,4
shade_min,0.49161506190648446,HIM,2010,4
npv_amp,0.48852480343895566,HIM,2010,4
swir1_min,0.48662089422234384,HIM,2010,4
npv_median,0.48541699645713093,HIM,2010,4
evi2_amp,0.47901622937404953,HIM,2010,4
cloud_stdDev,0.45493322793491797,HIM,2010,4
npv_max,0.45377723377180157,HIM,2010,4
npv_min,0.45260937927134065,HIM,2010,4
gv_amp,0.45230825819145987,HIM,2010,4
gvs_median,0.43407441961449306,HIM,2010,4
npv_stdDev,0.43187606326576583,HIM,2010,4
shade_max,0.4171880011334717,HIM,2010,4
soil_median_dry,0.40522788905579776,HIM,2010,4
gvs_min,0.3980957893393787,HIM,2010,4
gv_median,0.28011454215016224,HIM,2010,4
shade_median_wet,0.27105437837136487,HIM,2010,4
ndfi_min,0.2664007582348958,HIM,2010,4
gv_stdDev,0.26559096912545405,HIM,2010,4
gv_min,0.2630366060397954,HIM,2010,4
shade_stdDev,0.2308264611320473,HIM,2010,4
gv_median_dry,0.20481467772839407,HIM,2010,4
soil_min,0.13740954962111612,HIM,2010,4
wefi_amp,0.13402007982497077,HIM,2010,4
