band,importance,region,year,sample_version
green_median,2.1905860236103543,ICR,2015,4
green_median_texture,1.9928133382645212,ICR,2015,4
nir_median,1.9104143536528757,ICR,2015,4
blue_median,1.7768400258168984,ICR,2015,4
slope,1.6847369548838174,ICR,2015,4
ndwi_amp,1.6241927288959463,ICR,2015,4
gcvi_median,1.618738164049412,ICR,2015,4
ndwi_median,1.6142038956430098,ICR,2015,4
soil_max,1.6122966754360903,ICR,2015,4
swir2_stdDev,1.5996050247428328,ICR,2015,4
nir_min,1.5994726626031182,ICR,2015,4
cloud_median,1.5111246338933098,ICR,2015,4
swir2_median,1.5016110476079592,ICR,2015,4
red_median_dry,1.4709995282330748,ICR,2015,4
ndwi_stdDev,1.4626380840796975,ICR,2015,4
red_median,1.441143499036941,ICR,2015,4
swir1_median_dry,1.4070792320063175,ICR,2015,4
gcvi_median_wet,1.3158974404466022,ICR,2015,4
sefi_stdDev,1.2850886421446506,ICR,2015,4
ndwi_median_dry,1.202389539262507,ICR,2015,4
ndvi_median_wet,1.1931779898178818,ICR,2015,4
swir1_median_wet,1.1908421558218627,ICR,2015,4
swir2_min,1.1780716032007874,ICR,2015,4
ndvi_median_dry,1.0907837966026925,ICR,2015,4
pri_median,1.085455321794949,ICR,2015,4
soil_median_dry,1.082317878888258,ICR,2015,4
swir1_median,1.074138758114397,ICR,2015,4
sefi_median_dry,1.0710579317284066,ICR,2015,4
evi2_median_wet,1.0267127399925167,ICR,2015,4
green_min,1.0241820493808331,ICR,2015,4
swir1_stdDev,1.02060990624356,ICR,2015,4
blue_min,1.020247327697749,ICR,2015,4
hallcover_median,0.978546602955602,ICR,2015,4
cloud_median_wet,0.9731503478095436,ICR,2015,4
gvs_median_dry,0.9604462355980383,ICR,2015,4
pri_median_dry,0.9520633163835412,ICR,2015,4
gvs_max,0.948918481868595,ICR,2015,4
ndfi_min,0.9343723521146426,ICR,2015,4
nir_median_dry,0.9222807358399714,ICR,2015,4
savi_median,0.9213273624653705,ICR,2015,4
gvs_stdDev,0.8992699285214321,ICR,2015,4
cai_stdDev,0.8990244894320636,ICR,2015,4
swir2_median_wet,0.8981393224435734,ICR,2015,4
swir2_median_dry,0.8819249081675435,ICR,2015,4
shade_median,0.8669672762064375,ICR,2015,4
ndvi_median,0.8636136902736483,ICR,2015,4
gcvi_median_dry,0.8584628700372323,ICR,2015,4
cai_median_dry,0.8583106766722604,ICR,2015,4
red_stdDev,0.8549673927824766,ICR,2015,4
ndwi_median_wet,0.848852234345674,ICR,2015,4
shade_stdDev,0.8420897729020771,ICR,2015,4
soil_amp,0.8398671977753968,ICR,2015,4
gv_median_dry,0.8292751435015124,ICR,2015,4
green_median_wet,0.8268770210257043,ICR,2015,4
red_min,0.8240033892589446,ICR,2015,4
red_median_wet,0.8174364491299562,ICR,2015,4
soil_median,0.8100538750612949,ICR,2015,4
ndfi_median,0.806481532046954,ICR,2015,4
wefi_median,0.8021657626061447,ICR,2015,4
blue_median_dry,0.7944463511482467,ICR,2015,4
green_median_dry,0.7935071162312254,ICR,2015,4
savi_median_dry,0.7811476985115317,ICR,2015,4
swir1_min,0.7739619870482762,ICR,2015,4
ndvi_stdDev,0.7675248894709507,ICR,2015,4
shade_median_dry,0.7522817103315222,ICR,2015,4
evi2_median,0.7111309891196876,ICR,2015,4
gv_median,0.7101594857869603,ICR,2015,4
cloud_min,0.679685678907722,ICR,2015,4
evi2_amp,0.6778024494506757,ICR,2015,4
cai_median,0.6653854789722321,ICR,2015,4
hallcover_stdDev,0.6553230256332446,ICR,2015,4
gvs_median_wet,0.6534038582300135,ICR,2015,4
gv_max,0.649976373208819,ICR,2015,4
ndfi_stdDev,0.6414770172301139,ICR,2015,4
evi2_stdDev,0.6387778211272054,ICR,2015,4
shade_amp,0.6373948475717464,ICR,2015,4
gcvi_stdDev,0.6363742407279005,ICR,2015,4
blue_median_wet,0.6312906932800832,ICR,2015,4
nir_stdDev,0.6273471314694598,ICR,2015,4
soil_stdDev,0.6118599624491761,ICR,2015,4
evi2_median_dry,0.6108389339683657,ICR,2015,4
savi_stdDev,0.6011244202250859,ICR,2015,4
gv_amp,0.595335439188152,ICR,2015,4
gv_stdDev,0.5890322330331569,ICR,2015,4
ndfi_median_wet,0.5826387056292041,ICR,2015,4
sefi_median,0.5688148696534454,ICR,2015,4
wefi_amp,0.5672390899384007,ICR,2015,4
gv_median_wet,0.564796261650135,ICR,2015,4
gvs_median,0.5531050219959827,ICR,2015,4
shade_max,0.5439342859271343,ICR,2015,4
wefi_median_wet,0.5394667741854393,ICR,2015,4
savi_median_wet,0.537221140125921,ICR,2015,4
gv_min,0.5111516315757858,ICR,2015,4
ndfi_max,0.5052912173135525,ICR,2015,4
npv_amp,0.49836573464188216,ICR,2015,4
cloud_median_dry,0.49796853332125984,ICR,2015,4
ndfi_median_dry,0.49509241482731037,ICR,2015,4
green_stdDev,0.4754478917946051,ICR,2015,4
blue_stdDev,0.46712486779245277,ICR,2015,4
nir_median_wet,0.46196074480382743,ICR,2015,4
npv_min,0.45825789846716247,ICR,2015,4
npv_median,0.4577644925368909,ICR,2015,4
gvs_min,0.4569983176403345,ICR,2015,4
ndvi_amp,0.438054262668264,ICR,2015,4
ndfi_amp,0.43372657962405975,ICR,2015,4
shade_median_wet,0.4234994798351671,ICR,2015,4
gvs_amp,0.39693578168069554,ICR,2015,4
npv_median_dry,0.38561408608834474,ICR,2015,4
shade_min,0.36237429327788295,ICR,2015,4
cloud_max,0.34139649374021597,ICR,2015,4
wefi_stdDev,0.3355632862656349,ICR,2015,4
npv_median_wet,0.2989830192109173,ICR,2015,4
soil_median_wet,0.2755090176428309,ICR,2015,4
npv_max,0.2729713057272573,ICR,2015,4
pri_median_wet,0.26372065676451173,ICR,2015,4
npv_stdDev,0.1978855555627385,ICR,2015,4
cloud_stdDev,0.14838447553886142,ICR,2015,4
cloud_amp,0.10522326377440691,ICR,2015,4
soil_min,0.09257139563648115,ICR,2015,4
