band,importance,region,year,sample_version
ndwi_median_dry,2.451590337626225,IGP,2010,5
gcvi_median_dry,1.8426903404814448,IGP,2010,5
cloud_median,1.7442560870264456,IGP,2010,5
swir1_min,1.7191703088962051,IGP,2010,5
cloud_min,1.6843499190105655,IGP,2010,5
ndvi_median_wet,1.6826477476767951,IGP,2010,5
blue_median,1.6021488005727675,IGP,2010,5
swir1_median_dry,1.5636065791178075,IGP,2010,5
swir1_median_wet,1.5607711345875483,IGP,2010,5
green_min,1.5141410700742313,IGP,2010,5
red_median,1.5015983839271794,IGP,2010,5
red_median_wet,1.487663184271368,IGP,2010,5
red_median_dry,1.479895574012144,IGP,2010,5
green_median_dry,1.4519246156259853,IGP,2010,5
cloud_median_wet,1.4030429292521298,IGP,2010,5
slope,1.3827029514787401,IGP,2010,5
gcvi_median,1.3419993596940964,IGP,2010,5
green_median,1.3347568700155175,IGP,2010,5
cloud_median_dry,1.3232831562553802,IGP,2010,5
blue_median_dry,1.2927464529029657,IGP,2010,5
nir_median_dry,1.267490537637745,IGP,2010,5
red_stdDev,1.2563995107970867,IGP,2010,5
blue_min,1.255984328234667,IGP,2010,5
swir1_median,1.237637294109131,IGP,2010,5
soil_median_dry,1.2272595723055835,IGP,2010,5
ndwi_stdDev,1.2074629588262271,IGP,2010,5
nir_median,1.1391343921634782,IGP,2010,5
shade_median,1.1272435077196854,IGP,2010,5
sefi_median,1.0848721373739636,IGP,2010,5
blue_median_wet,1.0668091947910023,IGP,2010,5
gvs_amp,1.061767610744599,IGP,2010,5
blue_stdDev,1.0454325465204366,IGP,2010,5
swir2_median,1.0285980346202261,IGP,2010,5
ndvi_median,1.0211703873376448,IGP,2010,5
npv_median_wet,1.0139228865627987,IGP,2010,5
hallcover_median,0.9996912784883106,IGP,2010,5
cloud_max,0.9833594522885994,IGP,2010,5
shade_median_wet,0.9797753116244198,IGP,2010,5
npv_min,0.9666552194158219,IGP,2010,5
gcvi_median_wet,0.9611950561962669,IGP,2010,5
green_stdDev,0.9426226466233456,IGP,2010,5
swir2_median_dry,0.9288649480391419,IGP,2010,5
cai_median_dry,0.9214353729120807,IGP,2010,5
ndvi_median_dry,0.9128103111684333,IGP,2010,5
green_median_wet,0.8940264913633941,IGP,2010,5
sefi_median_dry,0.880916992014745,IGP,2010,5
savi_median_wet,0.8720252459559359,IGP,2010,5
soil_median,0.8476427412528724,IGP,2010,5
soil_stdDev,0.8368994239663955,IGP,2010,5
swir2_median_wet,0.835661940291362,IGP,2010,5
shade_median_dry,0.8316089594660452,IGP,2010,5
evi2_median_dry,0.8257975701523066,IGP,2010,5
ndvi_stdDev,0.8191201117646543,IGP,2010,5
evi2_median_wet,0.8104980943497588,IGP,2010,5
gcvi_stdDev,0.7906746734545146,IGP,2010,5
soil_median_wet,0.786914545376554,IGP,2010,5
cloud_amp,0.7849238564642288,IGP,2010,5
savi_median_dry,0.7697666974539075,IGP,2010,5
gv_amp,0.7367667311531243,IGP,2010,5
pri_median_dry,0.7317331300134832,IGP,2010,5
ndwi_median,0.7311146065187627,IGP,2010,5
shade_max,0.7276469467015202,IGP,2010,5
ndwi_amp,0.7269413500174947,IGP,2010,5
evi2_amp,0.7181210881002719,IGP,2010,5
npv_median,0.7156368625454415,IGP,2010,5
swir1_stdDev,0.7056502003834252,IGP,2010,5
nir_min,0.6931846447757172,IGP,2010,5
ndfi_amp,0.6759628731688246,IGP,2010,5
ndwi_median_wet,0.6587876887965791,IGP,2010,5
savi_median,0.6561858171958079,IGP,2010,5
shade_amp,0.6466875122558873,IGP,2010,5
gvs_median_wet,0.6408287504736019,IGP,2010,5
red_min,0.6338974887753887,IGP,2010,5
gvs_stdDev,0.6207136698454844,IGP,2010,5
pri_median,0.6203484251194916,IGP,2010,5
cloud_stdDev,0.6191966679580523,IGP,2010,5
evi2_stdDev,0.6085501955284854,IGP,2010,5
hallcover_stdDev,0.6014219308674407,IGP,2010,5
ndvi_amp,0.5971038570908624,IGP,2010,5
ndfi_stdDev,0.5942305605899301,IGP,2010,5
swir2_stdDev,0.5893923350785489,IGP,2010,5
