band,importance,region,year,sample_version
slope,2.552871740650482,NEI,2010,5
gcvi_stdDev,1.701720416130124,NEI,2010,5
blue_median,1.6699613951611558,NEI,2010,5
evi2_median_dry,1.6348493799920032,NEI,2010,5
cloud_max,1.5972957861331314,NEI,2010,5
red_min,1.5027594972380922,NEI,2010,5
ndwi_stdDev,1.456509551175254,NEI,2010,5
ndvi_median_dry,1.3392843674498471,NEI,2010,5
blue_median_dry,1.3324364715503412,NEI,2010,5
swir2_stdDev,1.3317195829034219,NEI,2010,5
red_median,1.2970577410180806,NEI,2010,5
hallcover_stdDev,1.2631090616766147,NEI,2010,5
gcvi_median,1.2212635939167782,NEI,2010,5
ndvi_median,1.2084968844497115,NEI,2010,5
green_median,1.2064324052618325,NEI,2010,5
blue_median_wet,1.1688675600377014,NEI,2010,5
ndwi_median_wet,1.14972632347301,NEI,2010,5
sefi_median_dry,1.1463528229227593,NEI,2010,5
red_median_dry,1.1137428408198,NEI,2010,5
gcvi_median_dry,1.1119430838857227,NEI,2010,5
blue_min,1.1066899434472435,NEI,2010,5
green_median_wet,1.1024590955477647,NEI,2010,5
swir1_median,1.0999139701858853,NEI,2010,5
ndwi_median,1.074872008867506,NEI,2010,5
green_median_dry,1.050372283828818,NEI,2010,5
savi_median_dry,1.0500759745722457,NEI,2010,5
savi_median,1.048314337910947,NEI,2010,5
soil_max,1.0442353240388322,NEI,2010,5
nir_stdDev,1.0434356280339692,NEI,2010,5
cloud_median_wet,1.039623260222931,NEI,2010,5
pri_median,1.034067144160697,NEI,2010,5
ndfi_median,1.0168153007315137,NEI,2010,5
ndfi_max,1.010564853396478,NEI,2010,5
ndvi_stdDev,0.9981061594895649,NEI,2010,5
gvs_min,0.9902801486019691,NEI,2010,5
ndvi_median_wet,0.9897943882702253,NEI,2010,5
pri_median_dry,0.9887339680150231,NEI,2010,5
red_median_wet,0.9868532571749685,NEI,2010,5
ndwi_amp,0.9766596838705746,NEI,2010,5
green_min,0.9698847145448934,NEI,2010,5
cai_median_dry,0.9633704656662233,NEI,2010,5
cloud_stdDev,0.9575872483659231,NEI,2010,5
cloud_amp,0.932433392832715,NEI,2010,5
green_stdDev,0.9117180815162267,NEI,2010,5
cloud_min,0.8995897966411669,NEI,2010,5
blue_stdDev,0.8927625248490938,NEI,2010,5
ndwi_median_dry,0.8877147833124106,NEI,2010,5
swir2_min,0.8797736504938496,NEI,2010,5
swir2_median_dry,0.8597672941781322,NEI,2010,5
nir_min,0.8493979420172193,NEI,2010,5
shade_min,0.8432416048805945,NEI,2010,5
cai_stdDev,0.837691826320491,NEI,2010,5
ndvi_amp,0.826031376410555,NEI,2010,5
ndfi_min,0.8251762853550075,NEI,2010,5
swir1_median_dry,0.8244568973860205,NEI,2010,5
gvs_median_wet,0.8230529872335938,NEI,2010,5
gvs_max,0.8078256071669053,NEI,2010,5
red_stdDev,0.8067322083257901,NEI,2010,5
swir2_median,0.8019678494394935,NEI,2010,5
nir_median_dry,0.8003406226416315,NEI,2010,5
