band,importance,region,year,sample_version
slope,1.5245090937392698,PEN,2013,5
nir_median,1.3321737622958563,PEN,2013,5
red_median,1.3296878411024378,PEN,2013,5
soil_amp,1.247323701438238,PEN,2013,5
green_median_wet,1.237498015749499,PEN,2013,5
gcvi_median_dry,1.2313415831472514,PEN,2013,5
blue_median_dry,1.2312077771894645,PEN,2013,5
cai_median,1.2171035367776701,PEN,2013,5
ndvi_median,1.189037273184362,PEN,2013,5
red_median_wet,1.1802648729273986,PEN,2013,5
swir1_min,1.1603536837505608,PEN,2013,5
blue_median,1.1424085879306767,PEN,2013,5
green_min,1.1423983254693661,PEN,2013,5
gcvi_median_wet,1.1418361569859068,PEN,2013,5
swir2_median_dry,1.1367199977973599,PEN,2013,5
hallcover_stdDev,1.1307046205945972,PEN,2013,5
soil_max,1.089156510985704,PEN,2013,5
swir1_median_dry,1.0864689600491724,PEN,2013,5
green_median_dry,1.0850123752651577,PEN,2013,5
nir_min,1.0834895118436851,PEN,2013,5
shade_median_dry,1.083023423837512,PEN,2013,5
blue_median_wet,1.0783721305821963,PEN,2013,5
ndvi_median_dry,1.0761774097327952,PEN,2013,5
evi2_median_dry,1.0708147500069367,PEN,2013,5
npv_median,1.0535107309099323,PEN,2013,5
cloud_median_dry,1.0451461135384765,PEN,2013,5
swir1_median_wet,1.0436865282200007,PEN,2013,5
green_median,1.03547065900111,PEN,2013,5
green_median_texture,1.0293900367327722,PEN,2013,5
gcvi_median,1.0254914457726134,PEN,2013,5
ndwi_stdDev,1.0124190195034628,PEN,2013,5
ndwi_median_dry,1.0037341225742145,PEN,2013,5
ndwi_median_wet,0.9834361833939802,PEN,2013,5
gcvi_stdDev,0.9815639934829707,PEN,2013,5
ndvi_median_wet,0.9709375905168802,PEN,2013,5
savi_median,0.9652430573982995,PEN,2013,5
npv_median_wet,0.9582057286439001,PEN,2013,5
swir2_min,0.9579756604281774,PEN,2013,5
shade_max,0.9448482311982321,PEN,2013,5
red_median_dry,0.9399436245352839,PEN,2013,5
swir2_median_wet,0.9310399904723636,PEN,2013,5
cloud_median,0.9308750081030308,PEN,2013,5
cai_median_dry,0.9144097284032991,PEN,2013,5
evi2_median_wet,0.9096056450546218,PEN,2013,5
evi2_amp,0.9068833959952729,PEN,2013,5
ndwi_median,0.8989024654176437,PEN,2013,5
blue_min,0.896933354048185,PEN,2013,5
cloud_median_wet,0.8912440722282785,PEN,2013,5
evi2_stdDev,0.8887645078009355,PEN,2013,5
swir1_median,0.8869989169164575,PEN,2013,5
swir2_stdDev,0.8853879094702689,PEN,2013,5
npv_median_dry,0.8809011481238125,PEN,2013,5
shade_median,0.8803499472823004,PEN,2013,5
pri_median_dry,0.8751307189684941,PEN,2013,5
cloud_min,0.8545354157675455,PEN,2013,5
pri_median_wet,0.8533080023276832,PEN,2013,5
pri_median,0.8446158216434925,PEN,2013,5
ndfi_max,0.841139919847685,PEN,2013,5
nir_median_dry,0.8286137512913526,PEN,2013,5
npv_max,0.8247482688539054,PEN,2013,5
shade_amp,0.8167015261853398,PEN,2013,5
sefi_median_dry,0.8162651321424099,PEN,2013,5
swir1_stdDev,0.8133029455574774,PEN,2013,5
gvs_median,0.8072925702299357,PEN,2013,5
ndwi_amp,0.7960442020980079,PEN,2013,5
ndvi_stdDev,0.7898937234357288,PEN,2013,5
savi_median_dry,0.788452111374971,PEN,2013,5
savi_median_wet,0.7830048514989042,PEN,2013,5
gv_max,0.7767467104804786,PEN,2013,5
wefi_amp,0.7746242248834345,PEN,2013,5
red_min,0.7745016436070409,PEN,2013,5
evi2_median,0.7576708434049437,PEN,2013,5
red_stdDev,0.7509718921689796,PEN,2013,5
cloud_amp,0.7437725131325974,PEN,2013,5
ndfi_median_wet,0.7395811839166643,PEN,2013,5
ndfi_amp,0.7357509438414022,PEN,2013,5
swir2_median,0.7349961677749293,PEN,2013,5
nir_median_wet,0.7338988464221383,PEN,2013,5
npv_min,0.7294632143337207,PEN,2013,5
sefi_median,0.7231361492488334,PEN,2013,5
soil_stdDev,0.7167365727009123,PEN,2013,5
savi_stdDev,0.7134674450936179,PEN,2013,5
ndvi_amp,0.7127485218418996,PEN,2013,5
shade_min,0.7080271115757298,PEN,2013,5
soil_median_dry,0.7027673731516336,PEN,2013,5
cai_stdDev,0.6979156169597958,PEN,2013,5
hallcover_median,0.6947943348057757,PEN,2013,5
green_stdDev,0.6868765064105549,PEN,2013,5
soil_min,0.6746325856371362,PEN,2013,5
blue_stdDev,0.6678236186017557,PEN,2013,5
soil_median,0.6533436616541266,PEN,2013,5
shade_median_wet,0.6510873767734038,PEN,2013,5
soil_median_wet,0.6490579633912925,PEN,2013,5
sefi_stdDev,0.6447618220927133,PEN,2013,5
gv_amp,0.6431123746004205,PEN,2013,5
ndfi_min,0.6354063558095187,PEN,2013,5
wefi_median_wet,0.6262556364905132,PEN,2013,5
gvs_max,0.6215241018496476,PEN,2013,5
npv_amp,0.6211446136733965,PEN,2013,5
wefi_stdDev,0.6129956931830985,PEN,2013,5
gvs_median_wet,0.6065456763107135,PEN,2013,5
ndfi_median,0.5979280524249629,PEN,2013,5
nir_stdDev,0.5935590817613455,PEN,2013,5
gvs_stdDev,0.5891835371995222,PEN,2013,5
gv_median_wet,0.5810438950701744,PEN,2013,5
gv_stdDev,0.5618670040200401,PEN,2013,5
cloud_max,0.5360211552687794,PEN,2013,5
gvs_amp,0.5146006129546198,PEN,2013,5
gvs_min,0.512033330609589,PEN,2013,5
gv_median,0.501592881245422,PEN,2013,5
ndfi_stdDev,0.4953816603558347,PEN,2013,5
gvs_median_dry,0.4877744664513922,PEN,2013,5
ndfi_median_dry,0.45309789686018,PEN,2013,5
shade_stdDev,0.44983258775241586,PEN,2013,5
cloud_stdDev,0.43475746985346164,PEN,2013,5
gv_median_dry,0.42473406834698235,PEN,2013,5
wefi_median,0.40197700566424,PEN,2013,5
gv_min,0.3868464147494591,PEN,2013,5
npv_stdDev,0.3481979048159731,PEN,2013,5
