band,importance,region,year,sample_version
gcvi_median,2.8518085157918516,WGR,2015,3
slope,2.788977251636578,WGR,2015,3
gcvi_stdDev,1.7382788237527325,WGR,2015,3
green_median_texture,1.718345627955339,WGR,2015,3
red_min,1.5571773907083615,WGR,2015,3
blue_median,1.5101648755884576,WGR,2015,3
red_median,1.4929971969494316,WGR,2015,3
swir2_median_wet,1.4682501200678904,WGR,2015,3
red_median_dry,1.4379319724260504,WGR,2015,3
swir1_median,1.3750841741935365,WGR,2015,3
ndvi_median_wet,1.3651245050254,WGR,2015,3
pri_median,1.3522814043799796,WGR,2015,3
cai_stdDev,1.3356082307261277,WGR,2015,3
swir1_median_wet,1.2918205135635619,WGR,2015,3
nir_median,1.281248862152502,WGR,2015,3
gcvi_median_dry,1.2589716419236763,WGR,2015,3
nir_median_wet,1.2492457476784025,WGR,2015,3
cai_median_dry,1.2414670550950424,WGR,2015,3
cai_median,1.2379314777650163,WGR,2015,3
ndvi_median_dry,1.2251837628839324,WGR,2015,3
gv_amp,1.1934104063392348,WGR,2015,3
npv_median_wet,1.181236359437293,WGR,2015,3
green_median,1.1692380167751986,WGR,2015,3
wefi_median,1.1426042450950864,WGR,2015,3
sefi_median,1.1304012605847142,WGR,2015,3
npv_min,1.1270033722550206,WGR,2015,3
gvs_amp,1.0836915307330528,WGR,2015,3
shade_median,1.0784291855795924,WGR,2015,3
evi2_stdDev,1.0696085946141036,WGR,2015,3
pri_median_wet,1.06462337946335,WGR,2015,3
gvs_max,1.056207399086454,WGR,2015,3
swir1_min,1.0446131089591069,WGR,2015,3
ndwi_median_dry,1.025381232486669,WGR,2015,3
ndvi_stdDev,1.0244629530389693,WGR,2015,3
red_stdDev,1.0213648712917613,WGR,2015,3
swir2_min,1.016766605865431,WGR,2015,3
red_median_wet,1.0088195912663398,WGR,2015,3
ndvi_median,0.9894245261016374,WGR,2015,3
sefi_stdDev,0.9851529239118074,WGR,2015,3
sefi_median_dry,0.9806609670001274,WGR,2015,3
ndfi_median,0.9782344631794858,WGR,2015,3
savi_median_dry,0.9773595458256463,WGR,2015,3
evi2_median_wet,0.9755296825961481,WGR,2015,3
shade_median_dry,0.9483807629040959,WGR,2015,3
ndfi_max,0.9416228560935583,WGR,2015,3
evi2_median_dry,0.9369336992727126,WGR,2015,3
ndfi_median_dry,0.9290303281842813,WGR,2015,3
soil_max,0.9198557144332373,WGR,2015,3
gcvi_median_wet,0.9194146582699921,WGR,2015,3
npv_median_dry,0.9096867486814444,WGR,2015,3
ndwi_median,0.9090158894385594,WGR,2015,3
nir_median_dry,0.8767117667074571,WGR,2015,3
swir2_median_dry,0.8545570828599522,WGR,2015,3
green_median_dry,0.8474210745081092,WGR,2015,3
gvs_min,0.835585258894266,WGR,2015,3
soil_amp,0.8329259751890633,WGR,2015,3
wefi_amp,0.8306181837014809,WGR,2015,3
blue_median_dry,0.8244974148609532,WGR,2015,3
swir1_stdDev,0.819880377927567,WGR,2015,3
nir_min,0.797218563265938,WGR,2015,3
pri_median_dry,0.7878668217304581,WGR,2015,3
blue_median_wet,0.7521577996186591,WGR,2015,3
cloud_median,0.7428564489455415,WGR,2015,3
blue_min,0.7105828302267565,WGR,2015,3
swir1_median_dry,0.7103065687571126,WGR,2015,3
swir2_stdDev,0.6983738094115758,WGR,2015,3
swir2_median,0.6882791969482249,WGR,2015,3
gvs_median_dry,0.6857485525938856,WGR,2015,3
gv_median_wet,0.6734819091350785,WGR,2015,3
npv_median,0.664330020857586,WGR,2015,3
soil_median_dry,0.6562574764356561,WGR,2015,3
cloud_median_dry,0.6537846355725095,WGR,2015,3
ndvi_amp,0.6452427725074779,WGR,2015,3
ndwi_median_wet,0.6366185663933467,WGR,2015,3
shade_max,0.632948694905854,WGR,2015,3
gvs_stdDev,0.6213325449740943,WGR,2015,3
savi_median_wet,0.6181485468242124,WGR,2015,3
ndwi_stdDev,0.6062903659673561,WGR,2015,3
ndfi_stdDev,0.6046896844508334,WGR,2015,3
gvs_median,0.595574121968503,WGR,2015,3
gv_median,0.5941624207860147,WGR,2015,3
evi2_median,0.5935900661039806,WGR,2015,3
hallcover_median,0.5832571371808931,WGR,2015,3
shade_stdDev,0.5762813721112883,WGR,2015,3
gvs_median_wet,0.5631066892562444,WGR,2015,3
savi_median,0.5459882160058598,WGR,2015,3
ndfi_min,0.5393422893801245,WGR,2015,3
cloud_max,0.5374181585336131,WGR,2015,3
ndfi_amp,0.5244579294574763,WGR,2015,3
hallcover_stdDev,0.5217755873444563,WGR,2015,3
green_min,0.5191048944285785,WGR,2015,3
gv_max,0.5142213149410327,WGR,2015,3
evi2_amp,0.5116542747112003,WGR,2015,3
soil_median,0.49260821198168153,WGR,2015,3
soil_stdDev,0.4719375322128729,WGR,2015,3
green_stdDev,0.47114091499178945,WGR,2015,3
cloud_median_wet,0.47083032037361916,WGR,2015,3
shade_min,0.4684806720376456,WGR,2015,3
blue_stdDev,0.4449928550236496,WGR,2015,3
nir_stdDev,0.4352233145293759,WGR,2015,3
wefi_median_wet,0.4214375307071353,WGR,2015,3
wefi_stdDev,0.41461683345497974,WGR,2015,3
ndfi_median_wet,0.413783841054507,WGR,2015,3
soil_min,0.4109488393844996,WGR,2015,3
savi_stdDev,0.40536115596577127,WGR,2015,3
ndwi_amp,0.404743134537475,WGR,2015,3
cloud_min,0.39788017469620685,WGR,2015,3
soil_median_wet,0.3737200142483671,WGR,2015,3
green_median_wet,0.36388156048447806,WGR,2015,3
npv_amp,0.35799779044824087,WGR,2015,3
shade_median_wet,0.3577424062757462,WGR,2015,3
shade_amp,0.3335498201878115,WGR,2015,3
gv_stdDev,0.3204935034761193,WGR,2015,3
cloud_amp,0.31315691512748944,WGR,2015,3
gv_median_dry,0.29590524554000197,WGR,2015,3
npv_max,0.18837940716509358,WGR,2015,3
gv_min,0.1732414018645429,WGR,2015,3
npv_stdDev,0.13568643713221792,WGR,2015,3
cloud_stdDev,0.11754872169043445,WGR,2015,3
