band,rank_1995,rank_2005,rank_2015,rank_2024,years_selected
blue_median_dry,,,,1.0,1
blue_stdDev,1.0,1.0,,,2
cai_median,1.0,1.0,1.0,1.0,4
cai_median_dry,1.0,1.0,1.0,1.0,4
cai_stdDev,1.0,1.0,1.0,1.0,4
cloud_amp,1.0,1.0,1.0,1.0,4
cloud_max,,,,1.0,1
cloud_median,1.0,1.0,1.0,1.0,4
green_median_texture,1.0,1.0,1.0,1.0,4
gv_min,1.0,6.0,,,1
gvs_amp,1.0,,1.0,1.0,3
gvs_median,1.0,2.0,,1.0,2
gvs_median_dry,1.0,5.0,1.0,1.0,3
ndfi_stdDev,,,,1.0,1
ndvi_stdDev,1.0,1.0,,,2
ndwi_median,,1.0,1.0,1.0,3
ndwi_median_dry,1.0,1.0,1.0,1.0,4
ndwi_stdDev,1.0,,,,1
nir_median,1.0,1.0,1.0,1.0,4
nir_median_dry,1.0,1.0,1.0,1.0,4
nir_median_wet,1.0,1.0,1.0,1.0,4
nir_min,1.0,1.0,,,2
nir_stdDev,1.0,3.0,1.0,1.0,3
npv_max,1.0,,,,1
npv_median,,1.0,1.0,1.0,3
npv_median_dry,,,,1.0,1
npv_median_wet,1.0,1.0,1.0,1.0,4
npv_min,1.0,1.0,1.0,1.0,4
npv_stdDev,1.0,7.0,1.0,1.0,3
pri_median,1.0,,1.0,1.0,3
pri_median_dry,1.0,1.0,1.0,1.0,4
pri_median_wet,1.0,1.0,1.0,,3
red_median_wet,,,1.0,,1
red_min,,1.0,1.0,1.0,3
red_stdDev,1.0,,,,1
savi_median_wet,1.0,1.0,1.0,1.0,4
sefi_stdDev,1.0,1.0,1.0,1.0,4
shade_max,1.0,1.0,,,2
shade_median_dry,1.0,,,1.0,2
shade_median_wet,1.0,1.0,1.0,1.0,4
shade_min,1.0,,,,1
shade_stdDev,1.0,4.0,2.0,1.0,2
slope,1.0,1.0,1.0,1.0,4
soil_amp,1.0,1.0,1.0,1.0,4
soil_median_dry,1.0,1.0,1.0,1.0,4
swir1_stdDev,1.0,1.0,1.0,1.0,4
swir2_min,1.0,1.0,1.0,1.0,4
wefi_amp,1.0,,1.0,1.0,3
