region,year,sample_version,sample_strategy,n_trees,features,accuracy,f1_weighted
HIM,2018,4,default,10,all,0.8770491803278688,0.8765064492873862
HIM,2018,4,default,10,static_16,0.8729508196721312,0.8720241132609772
HIM,2018,4,default,50,all,0.8770491803278688,0.8766643513476359
HIM,2018,4,default,50,static_16,0.8811475409836066,0.8807322308328904
HIM,2018,4,scaled,10,all,0.9021084337349398,0.8999219008027609
HIM,2018,4,scaled,10,static_16,0.8825301204819277,0.8804686292892013
HIM,2018,4,scaled,50,all,0.9051204819277109,0.9037727785344208
HIM,2018,4,scaled,50,static_16,0.9006024096385542,0.8984270989200793
IGP,2018,5,default,10,all,0.9070631970260223,0.9060159438708169
IGP,2018,5,default,10,static_16,0.862453531598513,0.8607241328679014
IGP,2018,5,default,50,all,0.929368029739777,0.9298869934241926
IGP,2018,5,default,50,static_16,0.8736059479553904,0.8721626767748583
IGP,2018,5,scaled,10,all,0.9521276595744681,0.949539676068423
IGP,2018,5,scaled,10,static_16,0.913563829787234,0.9103658629068201
IGP,2018,5,scaled,50,all,0.9561170212765957,0.9546937016366301
IGP,2018,5,scaled,50,static_16,0.9215425531914894,0.9182663736756311
DES,2018,7,default,10,all,0.9102564102564102,0.9089309317402983
DES,2018,7,default,10,static_16,0.8547008547008547,0.8540384155231192
DES,2018,7,default,50,all,0.905982905982906,0.9049224760447683
DES,2018,7,default,50,static_16,0.8888888888888888,0.8862348765197614
DES,2018,7,scaled,10,all,0.9439853076216712,0.9443984716582178
DES,2018,7,scaled,10,static_16,0.9090909090909091,0.9087144463593351
DES,2018,7,scaled,50,all,0.9577594123048668,0.9580163153724955
DES,2018,7,scaled,50,static_16,0.9274563820018366,0.9270263029921908
PEN,2018,5,default,10,all,0.8169014084507042,0.8169859161354261
PEN,2018,5,default,10,static_16,0.795774647887324,0.7932603397176481
PEN,2018,5,default,50,all,0.823943661971831,0.8181687879102119
PEN,2018,5,default,50,static_16,0.8063380281690141,0.8006841920938123
PEN,2018,5,scaled,10,all,0.8744336569579289,0.8687405183065388
PEN,2018,5,scaled,10,static_16,0.8491909385113269,0.841752911882422
PEN,2018,5,scaled,50,all,0.889967637540453,0.8851348957775407
PEN,2018,5,scaled,50,static_16,0.8576051779935275,0.8493035909960948
NEI,2018,5,default,10,all,0.84251968503937,0.8395529154278354
NEI,2018,5,default,10,static_16,0.7874015748031497,0.7799599333825187
NEI,2018,5,default,50,all,0.8700787401574803,0.8668543628749006
NEI,2018,5,default,50,static_16,0.8188976377952756,0.8139460370050421
NEI,2018,5,scaled,10,all,0.9,0.8979734490452456
NEI,2018,5,scaled,10,static_16,0.8692307692307693,0.8667296212125971
NEI,2018,5,scaled,50,all,0.9230769230769231,0.9219607230651897
NEI,2018,5,scaled,50,static_16,0.8846153846153846,0.8826239679881146
WGR,2018,3,default,10,all,0.8109090909090909,0.8036843936541532
WGR,2018,3,default,10,static_16,0.7927272727272727,0.7799889935086787
WGR,2018,3,default,50,all,0.8363636363636363,0.8280167609745552
WGR,2018,3,default,50,static_16,0.8181818181818182,0.8073433100233101
WGR,2018,3,scaled,10,all,0.8448687350835322,0.8376901919976375
WGR,2018,3,scaled,10,static_16,0.7971360381861575,0.7820406059603603
WGR,2018,3,scaled,50,all,0.8663484486873508,0.8610351697375428
WGR,2018,3,scaled,50,static_16,0.8233890214797136,0.8149265899795727
ICR,2018,4,default,10,all,0.8763636363636363,0.8740017486345623
ICR,2018,4,default,10,static_16,0.84,0.8400795453987513
ICR,2018,4,default,50,all,0.8909090909090909,0.8906542618873652
ICR,2018,4,default,50,static_16,0.850909090909091,0.849022803592774
ICR,2018,4,scaled,10,all,0.902542372881356,0.9020012082155204
ICR,2018,4,scaled,10,static_16,0.8622881355932204,0.8620175265569552
ICR,2018,4,scaled,50,all,0.9194915254237288,0.9192019034956787
ICR,2018,4,scaled,50,static_16,0.8813559322033898,0.8803434102729621
