region,year,sample_version,sample_strategy,n_trees,features,accuracy,f1_weighted,f1_macro
HIM,1995,4,scaled,50,all,0.8878048780487805,0.8841914683910683,0.8679438479390256
HIM,1995,4,scaled,50,static_16,0.8682926829268293,0.8648310262848488,0.8567983264270662
HIM,1998,4,scaled,50,all,0.9296407185628742,0.9287925532030012,0.9210050279386112
HIM,1998,4,scaled,50,static_16,0.8877245508982036,0.8865029962325371,0.8797386119375527
HIM,2001,4,scaled,50,all,0.9174454828660435,0.917234817044397,0.915062973307195
HIM,2001,4,scaled,50,static_16,0.9065420560747663,0.9057940440308696,0.9093384445566496
HIM,2004,4,scaled,50,all,0.9590551181102362,0.9583408243009324,0.9352461986359992
HIM,2004,4,scaled,50,static_16,0.9322834645669292,0.9303797756293468,0.8920343685455918
HIM,2007,4,scaled,50,all,0.9399075500770416,0.9387535663793068,0.9299939648857558
HIM,2007,4,scaled,50,static_16,0.9152542372881356,0.9141185295133508,0.9130842368033496
HIM,2010,4,scaled,50,all,0.9324116743471582,0.9317448610677266,0.9268250674492412
HIM,2010,4,scaled,50,static_16,0.8894009216589862,0.8885851820604646,0.8782308848426125
HIM,2013,4,scaled,50,all,0.9193798449612404,0.9187772289567196,0.927405351805368
HIM,2013,4,scaled,50,static_16,0.9023255813953488,0.9011668983581954,0.9089247728367684
HIM,2016,4,scaled,50,all,0.9123563218390804,0.9114345125215352,0.9095458175885832
HIM,2016,4,scaled,50,static_16,0.8850574712643678,0.8833145879958121,0.8859703012314608
HIM,2019,4,scaled,50,all,0.8952234206471494,0.8938456261966112,0.8943936318985215
HIM,2019,4,scaled,50,static_16,0.847457627118644,0.8455869791418645,0.8437320484195975
HIM,2022,4,scaled,50,all,0.9052969502407704,0.9029399116289872,0.8937164230105407
HIM,2022,4,scaled,50,static_16,0.8683788121990369,0.86595282469791,0.8664274317129592
IGP,1995,5,scaled,50,all,0.930171277997365,0.92747952167543,0.8925305894359824
IGP,1995,5,scaled,50,static_16,0.9038208168642952,0.8990775812861429,0.8597367879183504
IGP,1998,5,scaled,50,all,0.9298701298701298,0.927234573358558,0.9007333838814782
IGP,1998,5,scaled,50,static_16,0.8883116883116883,0.8821253693823379,0.8413204057447276
IGP,2001,5,scaled,50,all,0.9180555555555556,0.9063300207121916,0.870289303162356
IGP,2001,5,scaled,50,static_16,0.8930555555555556,0.8817275666366358,0.8394356114123721
IGP,2004,5,scaled,50,all,0.940379403794038,0.935393732863796,0.8883484477877599
IGP,2004,5,scaled,50,static_16,0.8956639566395664,0.8881794742904872,0.8143254023097962
IGP,2007,5,scaled,50,all,0.9543147208121828,0.951207366762977,0.9173796855856432
IGP,2007,5,scaled,50,static_16,0.931472081218274,0.9276580530545968,0.8909159974298055
IGP,2010,5,scaled,50,all,0.9535211267605632,0.9524775709184676,0.9403998555898032
IGP,2010,5,scaled,50,static_16,0.9352112676056338,0.9337325991222464,0.9165402540250858
IGP,2013,5,scaled,50,all,0.953764861294584,0.9522453215705888,0.9238956803171527
IGP,2013,5,scaled,50,static_16,0.9326287978863936,0.929658219440021,0.8948204105325457
IGP,2016,5,scaled,50,all,0.9525641025641024,0.951315337520244,0.9289864054360112
IGP,2016,5,scaled,50,static_16,0.9217948717948716,0.9200720348554504,0.8940394931201419
IGP,2019,5,scaled,50,all,0.9567979669631512,0.9562078230129794,0.9436325863342392
IGP,2019,5,scaled,50,static_16,0.9301143583227446,0.9291980773885372,0.9101373473474196
IGP,2022,5,scaled,50,all,0.95703125,0.9569889366537946,0.9409600348808712
IGP,2022,5,scaled,50,static_16,0.9361979166666666,0.9353279140237496,0.9075943320530128
DES,1995,7,scaled,50,all,0.912751677852349,0.9130050881542549,0.9257104573612708
DES,1995,7,scaled,50,static_16,0.8983700862895494,0.8987700753107968,0.9108649169447222
DES,1998,7,scaled,50,all,0.9400570884871552,0.9399061238740112,0.9457415241026818
DES,1998,7,scaled,50,static_16,0.9096098953377736,0.9091985450393856,0.9236834974174336
DES,2001,7,scaled,50,all,0.9281818181818182,0.9276742924600604,0.9212465401827532
DES,2001,7,scaled,50,static_16,0.9009090909090908,0.8998903725290534,0.8928034380610665
DES,2004,7,scaled,50,all,0.9409005628517824,0.9410669483784206,0.9492072481637857
DES,2004,7,scaled,50,static_16,0.9230769230769232,0.9233115376576316,0.9280391351529542
DES,2007,7,scaled,50,all,0.9201127819548872,0.9203890822324926,0.918838374240746
DES,2007,7,scaled,50,static_16,0.9050751879699248,0.9052027446637156,0.9113300916443712
DES,2010,7,scaled,50,all,0.944022770398482,0.9438857494245728,0.9494395891176032
DES,2010,7,scaled,50,static_16,0.913662239089184,0.9128458859778764,0.9094036258484148
DES,2013,7,scaled,50,all,0.9354536950420954,0.9346877061816764,0.9382262231353358
DES,2013,7,scaled,50,static_16,0.9111318989710008,0.9096887866165264,0.9186610510387044
DES,2016,7,scaled,50,all,0.947318908748824,0.947201619267596,0.9572841082839452
DES,2016,7,scaled,50,static_16,0.9285042333019756,0.9285249748157822,0.9335751882056468
DES,2019,7,scaled,50,all,0.9314516129032258,0.9310334627516016,0.946213991302678
DES,2019,7,scaled,50,static_16,0.9143145161290324,0.9134030019246502,0.9129710591083946
DES,2022,7,scaled,50,all,0.9355432780847146,0.9353683545035116,0.9362560211403712
DES,2022,7,scaled,50,static_16,0.9042357274401474,0.9035598431636488,0.8943983987111057
PEN,1995,5,scaled,50,all,0.8562300319488818,0.8462413060321845,0.7762081321600465
PEN,1995,5,scaled,50,static_16,0.8261980830670926,0.813633777498699,0.7412675102903966
PEN,1998,5,scaled,50,all,0.8527375707992448,0.8387691157483017,0.7503297278943819
PEN,1998,5,scaled,50,static_16,0.8338577721837633,0.8171786883248782,0.7241191049576695
PEN,2001,5,scaled,50,all,0.8705128205128205,0.8559150092859628,0.758067317817247
