region,year,sample_version,sample_strategy,n_trees,features,accuracy,f1_weighted,f1_macro,num_features
HIM,1995,4,scaled,50,top_N,0.8813008130081301,0.8786722305417516,0.8672974165839592,20
HIM,1998,4,scaled,50,top_N,0.9191616766467066,0.9185859784184284,0.9135652833550596,20
HIM,2001,4,scaled,50,top_N,0.9003115264797508,0.9003316129359054,0.9013085763341326,20
HIM,2004,4,scaled,50,top_N,0.9385826771653544,0.93819560494351,0.9254362522456616,20
HIM,2007,4,scaled,50,top_N,0.9244992295839752,0.9219815987264256,0.9027233871517356,20
HIM,2010,4,scaled,50,top_N,0.9185867895545314,0.9181913304596244,0.916080121285468,20
HIM,2013,4,scaled,50,top_N,0.9085271317829458,0.907813194939314,0.9179444845171534,20
HIM,2016,4,scaled,50,top_N,0.889367816091954,0.8886847681533666,0.8906937292464365,20
HIM,2019,4,scaled,50,top_N,0.8813559322033898,0.8794416110487915,0.8761132527865574,20
HIM,2022,4,scaled,50,top_N,0.8972712680577849,0.8943311164227314,0.8787256347450517,20
IGP,1995,5,scaled,50,top_N,0.906455862977602,0.9005805344824703,0.8476764090614204,20
IGP,1998,5,scaled,50,top_N,0.9246753246753248,0.9205388907770212,0.8940474276666919,20
IGP,2001,5,scaled,50,top_N,0.9,0.8920585327730732,0.8598245301942011,20
IGP,2004,5,scaled,50,top_N,0.9159891598915988,0.9118127043177616,0.8581419391486769,20
IGP,2007,5,scaled,50,top_N,0.9428934010152284,0.9408789066388076,0.9147605743176008,20
IGP,2010,5,scaled,50,top_N,0.9422535211267604,0.9410332424328856,0.928784118518124,20
IGP,2013,5,scaled,50,top_N,0.9471598414795244,0.9450810403520872,0.9120941443601672,20
IGP,2016,5,scaled,50,top_N,0.9371794871794872,0.9356306460917376,0.9095228201223408,20
IGP,2019,5,scaled,50,top_N,0.9313850063532402,0.9304383031787749,0.9086893586694458,20
IGP,2022,5,scaled,50,top_N,0.9505208333333334,0.9499953770191124,0.9282853780582452,20
DES,1995,7,scaled,50,top_N,0.8935762224352828,0.8940661327124798,0.9031140135778764,20
DES,1998,7,scaled,50,top_N,0.9267364414843008,0.9269347202560932,0.9363885913229836,20
DES,2001,7,scaled,50,top_N,0.9027272727272728,0.9022446797673542,0.8994299424800009,20
DES,2004,7,scaled,50,top_N,0.9277673545966229,0.9280299951352284,0.9374781717922216,20
DES,2007,7,scaled,50,top_N,0.912593984962406,0.9119474522772636,0.905765626634482,20
DES,2010,7,scaled,50,top_N,0.918406072106262,0.9180609751267484,0.9113020349820355,20
DES,2013,7,scaled,50,top_N,0.9148737137511692,0.9140658324907206,0.915859318009106,20
DES,2016,7,scaled,50,top_N,0.9360301034807148,0.9358108306753234,0.9395660562606905,20
DES,2019,7,scaled,50,top_N,0.9193548387096774,0.9185821609091454,0.932929288422476,20
DES,2022,7,scaled,50,top_N,0.9337016574585636,0.9338302611293614,0.928643934713071,20
PEN,1995,5,scaled,50,top_N,0.823003194888179,0.8102668271521497,0.7347738120274021,20
PEN,1998,5,scaled,50,top_N,0.8414096916299559,0.8273635556848491,0.7416629536287196,20
PEN,2001,5,scaled,50,top_N,0.8551282051282051,0.8411963649427716,0.7538377056142567,20
PEN,2004,5,scaled,50,top_N,0.8381578947368421,0.8241892470729175,0.7388686179416283,20
PEN,2007,5,scaled,50,top_N,0.8446920052424639,0.8284927211609691,0.7501730149881187,20
PEN,2010,5,scaled,50,top_N,0.8376623376623377,0.8288818792037432,0.7857303821698091,20
PEN,2013,5,scaled,50,top_N,0.8336569579288026,0.8232304588121275,0.7765157427687882,20
PEN,2016,5,scaled,50,top_N,0.8713745271122321,0.8651844204076287,0.8131593608403533,20
PEN,2019,5,scaled,50,top_N,0.8724202626641651,0.8679212605377562,0.8275839018130526,20
PEN,2022,5,scaled,50,top_N,0.8746061751732829,0.8718418191724635,0.8498980094076423,20
NEI,1995,5,scaled,50,top_N,0.8642857142857143,0.8600980783147022,0.7938257645560612,20
NEI,1998,5,scaled,50,top_N,0.8521400778210116,0.8440253284563264,0.7798711325908952,20
NEI,2001,5,scaled,50,top_N,0.855072463768116,0.8503896559178322,0.7799705197834823,20
NEI,2004,5,scaled,50,top_N,0.878095238095238,0.8726814324078049,0.8019507956774352,20
NEI,2007,5,scaled,50,top_N,0.875,0.8736370359434028,0.8380670503180574,20
NEI,2010,5,scaled,50,top_N,0.8752260397830018,0.8680441164782414,0.8218748228647375,20
NEI,2013,5,scaled,50,top_N,0.8488805970149254,0.8438133451279309,0.8100474562275454,20
NEI,2016,5,scaled,50,top_N,0.9055944055944056,0.9038892172544724,0.8704161634100501,20
NEI,2019,5,scaled,50,top_N,0.8857142857142857,0.8850271082446646,0.8622594946667327,20
NEI,2022,5,scaled,50,top_N,0.8648648648648649,0.861261519691087,0.812471801592304,20
WGR,1995,3,scaled,50,top_N,0.8461538461538461,0.8350367160262121,0.7686219873796278,20
WGR,1998,3,scaled,50,top_N,0.8255813953488372,0.819519303286169,0.7865947574157648,20
WGR,2001,3,scaled,50,top_N,0.8512195121951219,0.8355757461186256,0.7556614475247752,20
WGR,2004,3,scaled,50,top_N,0.825287356321839,0.8166526599110778,0.7452127222688927,20
WGR,2007,3,scaled,50,top_N,0.8467153284671532,0.8422071275377293,0.8276990492456828,20
WGR,2010,3,scaled,50,top_N,0.8260869565217391,0.8183227339248282,0.7920346812957495,20
WGR,2013,3,scaled,50,top_N,0.8378378378378378,0.8333071544384368,0.7864753326206129,20
WGR,2016,3,scaled,50,top_N,0.8894117647058823,0.8809885954491965,0.8114723021622559,20
WGR,2019,3,scaled,50,top_N,0.8864734299516909,0.8857934103570086,0.8642522360216456,20
WGR,2022,3,scaled,50,top_N,0.8961352657004831,0.8892090628776416,0.8533251478372821,20
ICR,1995,4,scaled,50,top_N,0.8630952380952381,0.8614745506622259,0.8693546346045424,20
ICR,1998,4,scaled,50,top_N,0.9129554655870444,0.911915260885551,0.911260638590169,20
ICR,2001,4,scaled,50,top_N,0.8426294820717132,0.8393785807537544,0.8370953861029992,20
ICR,2004,4,scaled,50,top_N,0.8658777120315582,0.8632251746978878,0.8539583966953214,20
ICR,2007,4,scaled,50,top_N,0.8954918032786885,0.8946619096593913,0.8876664275277224,20
ICR,2010,4,scaled,50,top_N,0.8752515090543259,0.874771413521335,0.8775303927549944,20
ICR,2013,4,scaled,50,top_N,0.9012096774193548,0.8999922916160293,0.888788572329268,20
ICR,2016,4,scaled,50,top_N,0.9202453987730062,0.918061376301663,0.9133225344549074,20
ICR,2019,4,scaled,50,top_N,0.8971774193548387,0.8955842842347559,0.8897181944408731,20
ICR,2022,4,scaled,50,top_N,0.9044585987261148,0.9030545748309738,0.8948421384384617,20
HIM,1995,4,scaled,50,top_N,0.8910569105691057,0.8873995836180406,0.8723544182081913,45
HIM,1998,4,scaled,50,top_N,0.9326347305389222,0.9317430754591858,0.9235987920802085,45
HIM,2001,4,scaled,50,top_N,0.9190031152647976,0.9191541600139944,0.9166946396022996,45
HIM,2004,4,scaled,50,top_N,0.9417322834645668,0.9415909039232148,0.9218985145038876,45
HIM,2007,4,scaled,50,top_N,0.9337442218798152,0.9320340102399935,0.9195048409356494,45
HIM,2010,4,scaled,50,top_N,0.9324116743471582,0.9319886373447802,0.924919295069727,45
HIM,2013,4,scaled,50,top_N,0.9100775193798448,0.9091855499849992,0.9207484273868312,45
HIM,2016,4,scaled,50,top_N,0.9080459770114944,0.9075319310700796,0.9027324451364316,45
